status,family,upstream,fontfiles prefix,Notes
?,oflsortsmillgoudytt,,,
?,oldenburg,,,
SOURCE-ONLY,Oldstandardtt,https://github.com/akryukov/oldstand,OldStandard-,
?,oleoscript,,,
?,oleoscriptswashcaps,,,
?,opensans,,,
?,opensanscondensed,,,
?,opensanshebrew,,,
?,opensanshebrewcondensed,,,
?,oranienbaum,,,
?,orbitron,,,
?,oregano,,,
?,orienta,,,
?,originalsurfer,,,
OK,Oswald,https://github.com/googlefonts/OswaldFont.git,fonts/ttf/Oswald-,
?,oswaldvfbeta,,,
?,overlock,,,
?,overlocksc,,,
NOTE,Overpass,https://github.com/m4rc1e/OverpassGFVersion,fonts/Overpass-,"There's also: ""Desktop Fonts/Overpass-"" | Should probably move this hotfix repo to googlefonts"
OK,Overpass Mono,https://github.com/m4rc1e/OverpassGFVersion,fonts/OverpassMono-,
?,overpassvfbeta,,,
?,overtherainbow,,,
?,ovo,,,
?,oxygen,,,
?,oxygenmono,,,
OK,Pacifico,https://github.com/Fonthausen/Pacifico,fonts/Pacifico-,
SOURCE-ONLY,Padauk,https://github.com/silnrsi/font-padauk,font-source,
OK,Palanquin,https://github.com/VanillaandCream/Palanquin,Palanquin/Palanquin/Palanquin-,
OK,Palanquin Dark,https://github.com/VanillaandCream/Palanquin,PalanquinDark/Palanquin_Dark/PalanquinDark-,
OK,Pangolin Sans,https://github.com/googlefonts/pangolin.git,fonts/Pangolin-,
?,paprika,,,
?,parisienne,,,
?,passeroone,,,
?,passionone,,,
?,pathwaygothicone,,,
?,patrickhand,,,
OK,Patrick Hand SC,https://github.com/m4rc1e/PatrickHandSC,fonts/PatrickHandSC-,
?,patuaone,,,
?,paytoneone,,,
?,pecita,,,
UFO,Peddana,https://github.com/appajid/peddana,Peddana-,
?,peralta,,,
?,permanentmarker,,,
?,petitformalscript,,,
?,petrona,,,
?,phetsarath,,,
OK,Philosopher,https://github.com/alexeiva/philosopher,fonts/ttf/Philosopher-,
?,piedra,,,
?,pinyonscript,,,
?,pirataone,,,
?,plaster,,,
OK,Play,https://github.com/alexeiva/play,fonts/ttf/Play-,
?,playball,,,
?,playfairdisplay,,,
?,playfairdisplaysc,,,
OK,Podkova,https://github.com/cyrealtype/Podkova,fonts/Podkova-,
?,poetsenone,,,
OK,Poiret One,https://github.com/alexeiva/poiretone.git,fonts/ttf/PoiretOne-,
?,pollerone,,,
?,poly,,,
?,pompiere,,,
UFO,Ponnala,https://github.com/appajid/ponnala,Ponnala,
?,pontanosans,,,
OTF,Poppins,https://github.com/itfoundry/poppins,products/Poppins-,
?,portersansblock,,,
?,portlligatsans,,,
?,portlligatslab,,,
OK,PostNoBills Colombo,https://github.com/googlefonts/MooniakFontsGFVersion,fonts/PostNoBillsColombo-,
OK,PostNoBills Jaffna,https://github.com/googlefonts/MooniakFontsGFVersion,fonts/PostNoBillsJaffna-,
OK,Pragati Narrow,https://github.com/Omnibus-Type/PragatiNarrow,Fonts/PragatiNarrow-,
OK,Prata,https://github.com/cyrealtype/Prata,fonts/Prata-,
?,preahvihear,,,
SOURCE-ONLY,pressstart2p,https://github.com/codeman38/PressStart2P,PressStart2P.sfd,
?,princesssofia,,,
?,prociono,,,
?,prostoone,,,
?,ptmono,,,
?,ptsans,,,
?,ptsanscaption,,,
?,ptsansnarrow,,,
?,ptserif,,,
?,ptserifcaption,,,
?,puritan,,,
?,purplepurse,,,
?,quando,,,
?,quantico,,,
?,quattrocento,,,
?,quattrocentosans,,,
?,questrial,,,
OK,Quicksand,https://github.com/andrew-paglinawan/QuicksandFamily.git,fonts/Quicksand-,
?,quintessential,,,
?,qwigley,,,
?,racingsansone,,,
?,radley,,,
?,rajdhani,,,
OK,Raleway,https://github.com/impallari/Raleway.git,fonts/v3.000 Fontlab/TTF/Raleway-,
?,ralewaydots,,,
?,ralewayvfbeta,,,
UFO,Ramabhadra,https://github.com/appajid/ramabhadra,Ramabhadra,
UFO,Ramaraja,https://github.com/appajid/ramaraja,Ramaraja-,
?,rambla,,,
?,rammettoone,,,
?,ranchers,,,
?,rancho,,,
